name,address,city,phone,website
Caribbean Estates Lands & Villas,Milford & Golden Grove Rds,Canaan,1-868-639-5263,www.realestatetobago.com
Store Bay Holidays,Store Bay Local Rd,Crown Pt,1-868-639-8810,www.storebayholidays.com
Viola's Place,Lowlands,Tobago,1-868-639-9441,
Acajou Hotel,Paria Main Road,Toco,1-868-670-3771,acajoutrinidad.com/
Ambassador Hotel,99-A Long Cir Rd,St James,1-868-628-9000,
Arthur's By The Sea,Crown Pt Tobago,,1-868-639-0196,
Asa Wright Nature Centre,7-3/4 ML Blanchisseuse Rd Blanch,,1-868-667-4655,
Azees Guest House,14 Azees Av Mayaro,,1-868-630-9140,
Bacolet Bay Apartment Hotel,Bacolet St Scarborough,,1-868-639-2955,
Bel Air International Airport Hotel,Piarco Airport Piarco,,1-868-669-4771,
Bellissimo Boutique Hotel,32 Buccoo Bay Rd,Buccoo,1-868-631-0976,
Blue Haven Hotel,Bacolet Bay,Scarborough,1-868-660-7737,
Blue Horizons Resort,Jacamer Dr Mt Irvine,,1-868-639-0432,
Bombshell Bay,3 Allan Dr Chaguanas,,1-868-672-5133,
Capri Isle,6 Rust St,St Clair,1-868-622-7359,
Caribbean Tourist Villa,7 Methuen St,Woodbrook,1-868-627-5423,
Caribe Hospitality Of T&T,Invaders Bay POS,,1-868-627-5555,
Caribe Hospitality Of T&T (Marriott),Audrey Jeffers Hgwy POS,,1-868-623-3967,
Carlton Sav - Pabx,Coblentz Ave Cascade,,1-868-621-5000,
Chaguaramas Hotel & Convention Centre,Western Main Road Chaguaramas,,1-868-634-2379,
Charles Elias 2000 Ltd,Wilson Rd Scarboro,,1-868-631-0983,
Charles Naimool,43-45 St James St,San Fernando,1-868-652-3257,
Coco Reef Resort & Spa- Craft,COCO REEF RESORT Crown Pt,,1-868-639-9821,
Cocrico Inn,North & Commissioner St Plymouth,,1-868-639-2961,
Conrado Beach Resort,Pigeon Point Tobago,,1-868-639-0145,
Crews Inn Ltd Administration Group,Point Gourde Dr Chag,,1-868-634-1381,
Crown Point Beach Hotel Limited,Store Bay Local Rd Tobago,,1-868-639-8781,
D' Coconut Cove Holiday Beach & Eco Resort,33-36 Calypso Rd,Manzanilla,1-868-691-5939,
El Suzzane Rainforest Lodge,"5.5mm Suzanne’s Way, Cumuto Road Cumuto",,1-868-680-1707,www.elsuzzaneestate.com
Footprints Eco Resorts,Culloden Bay Rd Tobago,,1-868-660-0118,
Golden Thistle Hotel,Store Bay Rd,Crown Point,1-868-639-8521,
Golf View Apartments Ltd,Old Grange Mt Irvine,,1-868-639-9551,
Grafton Beach Resort,Grafton Rd Tobago,,1-868-639-0191,
Green Oak Tower Hotel,267 Santa Cruz Old Rd,San Juan,1-868-675-1593,
Half Moon Blue,72 Bacolet St Scarboro,,1-868-639-1316,
Happy Valley Hotel,Southland Mall,,1-868-652-8612,
Harry'S 4 U Limited,G/Guayare Rd Guayaguayare,,1-868-630-8474,
Havanna Recreation Club & Hotel California,19-A Nelson St,Arima,1-868-667-2209,
Hilton Int'L,Lady Young Rd POS,,1-868-624-3111,
Holiday Inn Express Hotel & Suites,1 Exposition Dr,Trincity,1-868-669-6209,hcltt.com/subs_hotels.htm
Host Homes Limited,3 Coblentz Gardens St Anns,,1-868-621-0613,
IV Kings Guest House,Montgomery Rd Bethel,,1-868-660-8821,
Jasmine's Ocean Resort,19-3/4 Toco Main Rd,Balandra,1-868-670-4567,
Jetway Holiday Resort,Store Bay Rd Tobago,,1-868-639-8504,
Johnston Apartments,Store Bay,,1-868-639-8915,
K P Resorts,Buccoo Buccoo,,1-868-639-9481,
Kariwak Hotel,Crown Point Scarboro,,1-868-631-5291,
La Calypso Tourist Accomodation,46 French St,Woodbrook,1-868-622-4077,
Las Cuevas Beach Lodge,North Coast Rd Las Cuevas,,1-868-669-6945,
Le Sportel Inn,Macoya Rd,Tunapuna,1-868-663-3905,www.coetnt.com
Magdalena Golf Club,Tobago Plantations Tobago,,1-868-631-0847,
Metro Hotel,SMR Couva,,1-868-636-2472,
Mike'S Holiday Resorts,Crown Pt Crown Pt,,1-868-639-8050,
Mount Irvine Bay Hotel & Golf Club,Mount Irvine,Tobago,1-868-639-8872,
Native Abode,Gaskin Bay Rd Bon Accord,,1-868-639-0162,
Pakedo Ltd,87 Woodford St Newtown,,1-868-622-1376,
Paria Suites,South Trunk Rd,La Romain,1-868-697-2742,www.pariasuites.com
Plantation Beach Villas,Stonehaven Bay Rd Tobago,,1-868-639-9377,
R A S H Beach Front Resort,Church Rd,Mayaro,1-868-630-7274,
Radix Beach Resort Ltd,54 Gould St,Mayaro,1-868-630-6679,
Rainbow Resort,Crown Pt Tobago,,1-868-639-9940,
Rovanel's Resort & Conference Centre,Store Bay Local Rd Tobago,,1-868-639-9666,
Salybia Nature Resort & Spa Trinidad W I,Salybia Vlg,,1-868-691-3210,
Sandy Point Village Hotel,Crown Pt,,1-868-639-8533,
Schelles,South Trunk Rd La Romain,,1-868-692-2742,
South Western Court,16 Guapo Rd,Pt Fortin,1-868-648-0075,
Stonehaven Villas - Data Lines,LOT 3 GRAFTON MN RD Bon Accord,,1-868-639-1386,
Summerland Suites,Roberts St,Bon Accord,1-868-631-5053,
Sunrise Getaway,Feeder Rd Canaan,,1-868-639-0089,
Surf Side Hotel,Pigeon Pt Crown Pt,,1-868-639-0614,
Surfside Hotel,Crown Point,,1-868-639-9702,
The Ambassador Hotel,99 Long Cir Rd St James,,1-868-628-9000,
The Chancellor Hotel,5 St Anns Av St Anns,,1-868-623-0883,
The Cove Hotel & Beach Resort,Bay Ltd Western Mn Rd,,1-868-634-4319,
The Hummingbird,128 Store Bay Local Rd Crown Pt,,1-868-635-0241,
The Linx Suites Hotel Limited,2 - 8 Riverside Dr,San Fernando,1-868-652-9902,www.thelinxsuiteshotel.com
The Seahorse Inn,GRAFTON RD Scarboro,,1-868-635-0713,
The University Inn,30 Circular Rd,SAgustine,1-868-645-5959,
The Villas At Stonehaven,Black Rock Tobago,,1-868-639-0361,
Tobago Plantations Ltd,Lowlands Tobago,,1-868-631-0322,
Tradewinds Hotel,38 London St SFDO,,1-868-652-9463,www.tradewindshotel.com/
Tropikist Beach Hotel & Resort Ltd,21B Gaston St Montrose,,1-868-671-9143,
Unique Hotel Hideaway & Bar,3 Dam Rd,Longdenville,1-868-672-3315,
V I P Holiday Resorts,Store Bay Local Rd Crown Point,,1-868-639-9096,
V Plaza Hotel,Cross Crossing,San Fernando,1-868-657-2461,
